SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-17-2021,Single Family Residential,83 Cronin Dr,Santa Clara,CA,95051,2335000,4,2,Santa Clara,1568,8580,1958,,1489,,Sold,,,https://www.redfin.com/CA/Santa-Clara/83-Cronin-Dr-95051/home/1814508,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40963242,N,Y,37.3248776,-121.9864332
PAST SALE,April-10-2022,Single Family Residential,77 Cook Pl,Santa Clara,CA,95050,1580000,3,2.5,SANTA CLARA,1784,2077,2014,,886,155,Sold,,,https://www.redfin.com/CA/Santa-Clara/77-Cook-Pl-95050/home/28895830,MLSListings,ML81886349,N,Y,37.3264958,-121.9534658
PAST SALE,December-15-2021,Single Family Residential,1335 Don Ave,Santa Clara,CA,95050,1230000,3,1,SANTA CLARA,985,6130,1954,,1249,,Sold,,,https://www.redfin.com/CA/Santa-Clara/1335-Don-Ave-95050/home/1211357,MLSListings,ML81872593,N,Y,37.3581271,-121.9540879
PAST SALE,,Single Family Residential,2324 Talia Ave,Santa Clara,CA,95050,1240000,3,1,,1035,5957,1953,,1198,,,,,https://www.redfin.com/CA/Santa-Clara/2324-Talia-Ave-95050/home/1515632,,,N,Y,37.3317589,-121.9559542
PAST SALE,February-16-2023,Single Family Residential,2347 Boxwood Dr,San Jose,CA,95128,1120000,3,1,SAN JOSE,1040,6150,1949,,1077,,Sold,,,https://www.redfin.com/CA/San-Jose/2347-Boxwood-Dr-95128/home/595872,MLSListings,ML81919726,N,Y,37.3371296,-121.9454668
PAST SALE,,Single Family Residential,1905 Woodland Ave,Santa Clara,CA,95050,1850000,3,2,,1296,6897,1955,,1427,,,,,https://www.redfin.com/CA/Santa-Clara/1905-Woodland-Ave-95050/home/1499418,,,N,Y,37.3313228,-121.9525326
PAST SALE,December-10-2021,Single Family Residential,3517 Toomey Pl,Santa Clara,CA,95051,2346835,4,4.5,SANTA CLARA,2990,2990,2021,,785,166,Sold,,,https://www.redfin.com/CA/Santa-Clara/3517-Toomey-Pl-95051/home/167211635,MLSListings,ML81832964,N,Y,37.3771148,-121.9934075
PAST SALE,,Single Family Residential,663 Tulane Dr,Santa Clara,CA,95051,2436000,4,3,,2090,6300,1961,,1166,,,,,https://www.redfin.com/CA/Santa-Clara/663-Tulane-Dr-95051/home/944210,,,N,Y,37.333856,-121.9922303
PAST SALE,,Single Family Residential,902 E River Pkwy,Santa Clara,CA,95054,2575000,4,4,,2989,3484,2004,,861,,,,,https://www.redfin.com/CA/Santa-Clara/902-E-River-Pkwy-95054/home/1437517,,,N,Y,37.398968,-121.9501329
PAST SALE,October-4-2021,Single Family Residential,4425 Billings Cir,Santa Clara,CA,95054,2500000,5,4,SANTA CLARA,2645,4579,2004,,945,142,Sold,,,https://www.redfin.com/CA/Santa-Clara/4425-Billings-Cir-95054/home/1051233,MLSListings,ML81865339,N,Y,37.400234,-121.9506662
PAST SALE,April-5-2022,Single Family Residential,769 Jackson St,Santa Clara,CA,95050,1500000,4,2,SANTA CLARA,1420,2782,1903,,1056,,Sold,,,https://www.redfin.com/CA/Santa-Clara/769-Jackson-St-95050/home/881665,MLSListings,ML81881848,N,Y,37.3468089,-121.9455112
PAST SALE,,Single Family Residential,1739 Graham Ln,Santa Clara,CA,95050,1350000,3,1,,1021,6681,1950,,1322,,,,,https://www.redfin.com/CA/Santa-Clara/1739-Graham-Ln-95050/home/679091,,,N,Y,37.3549745,-121.9676847
PAST SALE,March-18-2022,Single Family Residential,1820 Briarwood Dr,Santa Clara,CA,95051,1600000,3,1,SANTA CLARA,1097,5747,1954,,1459,,Sold,,,https://www.redfin.com/CA/Santa-Clara/1820-Briarwood-Dr-95051/home/1229358,MLSListings,ML81877364,N,Y,37.3562756,-121.9935407
PAST SALE,,Single Family Residential,1154 Inverness Ave,Santa Clara,CA,95050,3200000,5,3,,3244,12526,1951,,986,,,,,https://www.redfin.com/CA/Santa-Clara/1154-Inverness-Ave-95050/home/943584,,,N,Y,37.3470679,-121.9575761
PAST SALE,April-27-2022,Single Family Residential,2111 Rockhurst Ct,Santa Clara,CA,95051,2000000,3,2,SANTA CLARA,1425,6320,1958,,1404,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2111-Rockhurst-Ct-95051/home/1789749,MLSListings,ML81884404,N,Y,37.3613446,-121.9890541
PAST SALE,,Single Family Residential,2985 Warburton Ave,Santa Clara,CA,95051,2240000,4,3.5,,1991,5788,1956,,1125,,,,,https://www.redfin.com/CA/Santa-Clara/2985-Warburton-Ave-95051/home/1509482,,,N,Y,37.355121,-121.9814798
PAST SALE,May-10-2023,Single Family Residential,3282 Dorcich St,Santa Clara,CA,95050,1625000,4,3,SANTA CLARA,1941,11074,1952,,837,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3282-Dorcich-St-95050/home/749661,MLSListings,ML81927787,N,Y,37.3247639,-121.9549766
PAST SALE,,Single Family Residential,148 Kellogg Way,Santa Clara,CA,95051,2160000,3,2,,1388,7989,1958,,1556,,,,,https://www.redfin.com/CA/Santa-Clara/148-Kellogg-Way-95051/home/1074776,,,N,Y,37.3261756,-121.9840565
PAST SALE,April-4-2022,Single Family Residential,2486 Pilot Knob Dr,Santa Clara,CA,95051,1350000,3,1,SANTA CLARA,897,5191,1954,,1505,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2486-Pilot-Knob-Dr-95051/home/1440377,MLSListings,ML81885658,N,Y,37.3673342,-121.9777702
PAST SALE,February-24-2023,Single Family Residential,605 Malarin Ave,Santa Clara,CA,95050,1260000,3,2,SANTA CLARA,1484,5893,1951,,849,,Sold,,,https://www.redfin.com/CA/Santa-Clara/605-Malarin-Ave-95050/home/1775140,MLSListings,ML81919793,N,Y,37.3387031,-121.9589092
PAST SALE,February-10-2023,Single Family Residential,3441 Tracy Dr,Santa Clara,CA,95051,2125000,3,2,SANTA CLARA,1420,6212,1956,,1496,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3441-Tracy-Dr-95051/home/1213077,MLSListings,ML81915317,N,Y,37.328789,-121.9920304
PAST SALE,October-31-2022,Single Family Residential,741 Vinemaple Ter,Sunnyvale,CA,94086,3000300,4,4.5,SUNNYVALE,2983,3691,2021,,1006,135,Sold,,,https://www.redfin.com/CA/Sunnyvale/741-Vinemaple-Ter-94086/home/172931085,MLSListings,ML81907696,N,Y,37.3625708,-121.9973831
PAST SALE,June-21-2022,Single Family Residential,74 Woodhams Rd,Santa Clara,CA,95051,2080000,3,2,SANTA CLARA,1240,6300,1954,,1677,,Sold,,,https://www.redfin.com/CA/Santa-Clara/74-Woodhams-Rd-95051/home/1604110,MLSListings,ML81889699,N,Y,37.3245164,-121.9830791
PAST SALE,January-5-2022,Single Family Residential,2952 Fresno St,Santa Clara,CA,95051,2400000,3,2,SANTA CLARA,1947,7679,1947,,1233,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2952-Fresno-St-95051/home/732812,MLSListings,ML81872640,N,Y,37.3497589,-121.9797694
PAST SALE,December-20-2021,Single Family Residential,566 Eden Ct,Santa Clara,CA,95051,2625000,3,3,SANTA CLARA,2003,9200,1960,,1311,,Sold,,,https://www.redfin.com/CA/Santa-Clara/566-Eden-Ct-95051/home/1708075,MLSListings,ML81869712,N,Y,37.3321149,-121.9942071
PAST SALE,October-27-2022,Single Family Residential,418 Montclair Dr,Santa Clara,CA,95051,2210000,3,2,SANTA CLARA,1284,6446,1957,,1721,,Sold,,,https://www.redfin.com/CA/Santa-Clara/418-Montclair-Dr-95051/home/763710,MLSListings,ML81909410,N,Y,37.3299349,-121.9994486
PAST SALE,May-4-2022,Single Family Residential,99 Gilbert Ave,Santa Clara,CA,95051,2350000,3,2,SANTA CLARA,1400,11065,1958,,1679,,Sold,,,https://www.redfin.com/CA/Santa-Clara/99-Gilbert-Ave-95051/home/1324450,MLSListings,ML81884734,N,Y,37.3253401,-121.9845229
PAST SALE,October-13-2022,Single Family Residential,2967 Kearney Ave,Santa Clara,CA,95051,1250000,3,2,SANTA CLARA,1095,5658,1958,,1142,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2967-Kearney-Ave-95051/home/1310809,MLSListings,ML81908017,N,Y,37.3653165,-121.9804802
PAST SALE,August-29-2023,Single Family Residential,3829 De La Cruz Blvd,Santa Clara,CA,95054,1105000,5,2,SANTA CLARA,1764,6587,1965,,626,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3829-De-la-Cruz-Blvd-95054/home/2120315,MLSListings,ML81938568,N,Y,37.3915469,-121.9457393
PAST SALE,November-5-2021,Single Family Residential,2807 Sycamore Way,Santa Clara,CA,95051,1950000,3,2,SANTA CLARA,1442,7287,1960,,1352,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2807-Sycamore-Way-95051/home/1280372,MLSListings,ML81867227,N,Y,37.3310587,-121.9762596
PAST SALE,October-14-2021,Single Family Residential,2180 Menzel Pl,Santa Clara,CA,95050,1428000,3,2,SANTA CLARA,1181,5616,1954,,1209,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2180-Menzel-Pl-95050/home/1278952,MLSListings,ML81862571,N,Y,37.3579961,-121.962886
PAST SALE,January-10-2022,Single Family Residential,3586 Londonderry Dr,Santa Clara,CA,95050,2200880,3,3,SANTA CLARA,1847,5916,1955,,1192,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3586-Londonderry-Dr-95050/home/1074920,MLSListings,ML81872084,N,Y,37.3274862,-121.9626639
PAST SALE,November-16-2021,Single Family Residential,1920 Fillmore St,Santa Clara,CA,95050,1525000,3,2,SANTA CLARA,1558,5690,1955,,979,,Sold,,,https://www.redfin.com/CA/Santa-Clara/1920-Fillmore-St-95050/home/1328412,MLSListings,ML81866555,N,Y,37.3569227,-121.9542212
PAST SALE,December-17-2021,Single Family Residential,714 Hamilton Ln,Santa Clara,CA,95051,1300000,3,2,SANTA CLARA,1108,5308,1955,,1173,,Sold,,,https://www.redfin.com/CA/Santa-Clara/714-Hamilton-Ln-95051/home/1657949,MLSListings,ML81871685,N,Y,37.335576,-121.9809689
PAST SALE,October-30-2022,Single Family Residential,2134 Benton St,Santa Clara,CA,95050,1410000,3,2,SANTA CLARA,1251,5814,1950,,1127,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2134-Benton-St-95050/home/691626,MLSListings,ML81909827,N,Y,37.346069,-121.9607088
PAST SALE,April-4-2022,Single Family Residential,3073 Adams Way,Santa Clara,CA,95051,1970000,3,2,SANTA CLARA,1240,5457,1954,,1589,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3073-Adams-Way-95051/home/648348,MLSListings,ML81880539,N,Y,37.3280427,-121.9820351
PAST SALE,December-22-2022,Single Family Residential,2395 Stanford Pl,Santa Clara,CA,95051,1350000,3,2,SANTA CLARA,1328,6752,1957,,1017,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2395-Stanford-Pl-95051/home/1071931,MLSListings,ML81912510,N,Y,37.3659357,-121.9885211
PAST SALE,January-5-2022,Single Family Residential,2920 El Sobrante St,Santa Clara,CA,95051,2100000,3,2,SANTA CLARA,1210,7799,1950,,1736,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2920-El-Sobrante-St-95051/home/663080,MLSListings,ML81871488,N,Y,37.3489283,-121.9793473
PAST SALE,December-2-2021,Single Family Residential,1166 Warburton Ave,Santa Clara,CA,95050,1020000,3,2,SANTA CLARA,880,4499,1900,,1159,,Sold,,,https://www.redfin.com/CA/Santa-Clara/1166-Warburton-Ave-95050/home/828241,MLSListings,ML81870351,N,Y,37.356267,-121.9505329
PAST SALE,May-24-2023,Single Family Residential,610 Clara Vista Ave,Santa Clara,CA,95050,1401000,3,1,SANTA CLARA,1080,5280,1957,,1297,,Sold,,,https://www.redfin.com/CA/Santa-Clara/610-Clara-Vista-Ave-95050/home/1534104,MLSListings,ML81926417,N,Y,37.3372866,-121.9629305
PAST SALE,June-13-2023,Single Family Residential,1982 Stanley Ave,Santa Clara,CA,95050,1550000,3,2,SANTA CLARA,1130,7402,1955,,1372,,Sold,,,https://www.redfin.com/CA/Santa-Clara/1982-Stanley-Ave-95050/home/1356882,MLSListings,ML81929079,N,Y,37.339051,-121.9544434
PAST SALE,May-30-2023,Single Family Residential,2204 Bohannon Dr,Santa Clara,CA,95050,1788000,3,2,SANTA CLARA,1615,5700,1952,,1107,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2204-Bohannon-Dr-95050/home/1199694,MLSListings,ML81926087,N,Y,37.3354224,-121.9562653
PAST SALE,September-28-2021,Single Family Residential,3023 Millar Ave,Santa Clara,CA,95051,1655000,3,2,SANTA CLARA,1300,5892,1958,,1273,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3023-Millar-Ave-95051/home/673959,MLSListings,ML81859277,N,Y,37.3581269,-121.9820351
PAST SALE,September-29-2021,Single Family Residential,725 Vinemaple Ter,Sunnyvale,CA,94086,2829940,4,4.5,Santa Clara,2977,3744,2021,,951,135,Sold,,,https://www.redfin.com/CA/Sunnyvale/725-Vinemaple-Ter-94086/home/172931081,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40937134,N,Y,37.3631219,-121.9973609
PAST SALE,June-12-2023,Single Family Residential,3479 Fowler Ave,Santa Clara,CA,95051,1808000,3,2,SANTA CLARA,1124,5559,1954,,1609,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3479-Fowler-Ave-95051/home/1495669,MLSListings,ML81927661,N,Y,37.3550238,-121.9903424
PAST SALE,November-16-2021,Single Family Residential,665 Armanini Ave,Santa Clara,CA,95050,1550000,3,2,Santa Clara,1162,5870,1950,,1334,,Sold,,,https://www.redfin.com/CA/Santa-Clara/665-Armanini-Ave-95050/home/738123,MetroList,221123755,N,Y,37.3394558,-121.9614642
PAST SALE,December-6-2022,Single Family Residential,1754 Franck Ave,Santa Clara,CA,95051,1100000,3,1,Santa Clara,1032,5767,1953,,1066,,Sold,,,https://www.redfin.com/CA/Santa-Clara/1754-Franck-Ave-95051/home/1752254,MetroList,222143329,N,Y,37.3549836,-121.9704617
PAST SALE,October-22-2021,Single Family Residential,1166 Manzano Way,Sunnyvale,CA,94089,1410000,3,2,Lakewood Village,1108,5670,1958,,1273,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1166-Manzano-Way-94089/home/1506809,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40968009,N,Y,37.3990974,-121.987234
PAST SALE,July-24-2023,Single Family Residential,4503 Cheeney St,Santa Clara,CA,95054,2100000,3,3,SANTA CLARA,2216,19140,1963,,948,,Sold,,,https://www.redfin.com/CA/Santa-Clara/4503-Cheeney-St-95054/home/1034657,MLSListings,ML81932218,N,Y,37.396911,-121.9626416
PAST SALE,March-3-2023,Single Family Residential,2566 Dixon Dr,Santa Clara,CA,95051,1500000,3,2,SANTA CLARA,1166,5403,1955,,1286,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2566-Dixon-Dr-95051/home/1215199,MLSListings,ML81917559,N,Y,37.3410792,-121.9712286
PAST SALE,April-19-2022,Single Family Residential,1095 Madison St,Santa Clara,CA,95050,1400000,5,2,SANTA CLARA,1560,5987,1906,,897,,Sold,,,https://www.redfin.com/CA/Santa-Clara/1095-Madison-St-95050/home/1085343,MLSListings,ML81883619,N,Y,37.3489748,-121.9494886
PAST SALE,May-20-2022,Single Family Residential,2159 Avenida De Las Flores,Santa Clara,CA,95054,1550000,3,2,SANTA CLARA,1341,8782,1976,,1156,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2159-Avenida-de-las-Flores-95054/home/1407283,MLSListings,ML81879219,N,Y,37.4030524,-121.9630653
PAST SALE,September-20-2021,Single Family Residential,3071 Mauricia Ave,Santa Clara,CA,95051,1908000,3,2,SANTA CLARA,1240,5566,1954,,1539,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3071-Mauricia-Ave-95051/home/916206,MLSListings,ML81856480,N,Y,37.3273665,-121.9820351
PAST SALE,November-22-2021,Single Family Residential,635 Giannini Dr,Santa Clara,CA,95051,2025000,3,2,SANTA CLARA,1147,6766,1956,,1765,,Sold,,,https://www.redfin.com/CA/Santa-Clara/635-Giannini-Dr-95051/home/1764281,MLSListings,ML81867437,N,Y,37.332621,-122.0003813
PAST SALE,October-24-2022,Single Family Residential,3490 Butcher Dr,Santa Clara,CA,95051,1860000,3,2,SANTA CLARA,1488,6320,1974,,1250,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3490-Butcher-Dr-95051/home/953554,MLSListings,ML81907584,N,Y,37.3426645,-121.9918527
PAST SALE,March-3-2023,Single Family Residential,2841 Pruneridge Ave,Santa Clara,CA,95051,1960000,4,2.5,SANTA CLARA,2170,8840,1960,,903,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2841-Pruneridge-Ave-95051/home/1530327,MLSListings,ML81917363,N,Y,37.3302106,-121.9760819
PAST SALE,April-1-2022,Single Family Residential,2040 Don Ct,Santa Clara,CA,95050,1610000,3,2,SANTA CLARA,1270,5240,1954,,1268,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2040-Don-Ct-95050/home/1737473,MLSListings,ML81880953,N,Y,37.3583716,-121.9543989
PAST SALE,December-7-2021,Single Family Residential,779 Layton St,Santa Clara,CA,95051,1300000,3,2,SANTA CLARA,1230,5676,1954,,1057,,Sold,,,https://www.redfin.com/CA/Santa-Clara/779-Layton-St-95051/home/944321,MLSListings,ML81870467,N,Y,37.3392799,-121.9719723
PAST SALE,August-10-2022,Single Family Residential,3168 Merced Ct,Santa Clara,CA,95051,1780000,4,2,SANTA CLARA,1330,5500,1958,,1338,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3168-Merced-Ct-95051/home/814885,MLSListings,ML81899580,N,Y,37.3555242,-121.9845674
PAST SALE,October-25-2021,Single Family Residential,2831 Fargher Dr,Santa Clara,CA,95051,1788000,3,2.5,SANTA CLARA,2095,4024,1989,,853,125,Sold,,,https://www.redfin.com/CA/Santa-Clara/2831-Fargher-Dr-95051/home/677402,MLSListings,ML81863403,N,Y,37.3544039,-121.9784366
PAST SALE,October-22-2021,Single Family Residential,1996 Stanley Ave,Santa Clara,CA,95050,1299000,3,2,Santa Clara,1324,5963,1955,,,,Sold,,,https://www.redfin.com/CA/Santa-Clara/1996-Stanley-Ave-95050/home/1126790,MetroList,221119124,N,Y,37.3390141,-121.9550655
PAST SALE,September-15-2021,Single Family Residential,3357 Cashdan Ct,Santa Clara,CA,95051,1750000,3,2,Lawrence Meadows,1610,7600,1960,,1087,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3357-Cashdan-Ct-95051/home/1240996,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40962791,N,Y,37.3692827,-121.9888764
PAST SALE,February-15-2022,Single Family Residential,1211 Los Padres Blvd,Santa Clara,CA,95050,2401000,4,3,SANTA CLARA,2236,6122,1951,,1074,,Sold,,,https://www.redfin.com/CA/Santa-Clara/1211-Los-Padres-Blvd-95050/home/1695365,MLSListings,ML81873495,N,Y,37.3479081,-121.9647078
PAST SALE,October-20-2021,Single Family Residential,508 Bancroft St,Santa Clara,CA,95051,1835000,4,2,SANTA CLARA,1687,7800,1961,,1088,,Sold,,,https://www.redfin.com/CA/Santa-Clara/508-Bancroft-St-95051/home/1450011,MLSListings,ML81862443,N,Y,37.3317115,-121.9800804
PAST SALE,,Single Family Residential,4918 Avenida de los Arboles,Santa Clara,CA,95054,1850000,4,3,,1850,6851,1976,,1000,,,,,https://www.redfin.com/CA/Santa-Clara/4918-Avenida-de-los-Arboles-95054/home/1172473,,,N,Y,37.405485,-121.9601407
PAST SALE,April-8-2022,Single Family Residential,14 Linden Dr,Santa Clara,CA,95050,1510000,3,1,SANTA CLARA,1092,8021,1948,,1383,,Sold,,,https://www.redfin.com/CA/Santa-Clara/14-Linden-Dr-95050/home/815822,MLSListings,ML81874768,N,Y,37.3377796,-121.9355561
PAST SALE,March-9-2023,Single Family Residential,3124 Mauricia Ave,Santa Clara,CA,95051,2700000,4,2.5,SANTA CLARA,1883,12660,1958,,1434,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3124-Mauricia-Ave-95051/home/1534156,MLSListings,ML81918645,N,Y,37.3271688,-121.9845007
